target_word,PoS,example_1,example_2,index1,index2,label
wish,V,I wish I could go home now .,I wish that Christmas were over .,1,1,F
gratification,N,To my immense gratification he arrived on time .,Dull repetitious work gives no gratification .,3,5,T
fire,N,Put the kettle on the fire .,Barbecue over an open fire .,5,4,T
beat,V,Beat the drum .,Beat one 's breast .,0,0,F
etiolation,N,His etiolation signaled years in prison .,The etiolation of celery .,1,1,F
extend,V,Extend my greetings .,Extend the loan .,0,0,F
connect,V,The new railroad will connect the northern part of the state to the southern part .,Herman connected the computers .,4,1,T
melt,V,"When the weather is warm , the snowman will disappear ; he will melt .",The wax melted in the sun .,13,2,T
place,N,Your place or mine ?,A woman 's place is no longer in the kitchen .,1,3,F
life,N,While there 's life there 's hope .,He gave up on life .,3,4,T
day,N,In the day of the dinosaurs .,In the days of sailing ships .,2,2,T
bank,N,The plane went into a steep bank .,A huge bank of earth .,6,2,F
addition,N,The addition of a leap day every four years .,The addition of cinnamon improved the flavor .,1,1,F
float,V,Float data .,The dancer floated across the stage .,0,2,F
point,N,At that point I had to leave .,To fall off a point .,2,4,F
return,N,A return to one 's question .,The return of spring .,1,1,F
fall,N,When that became known the price of their stock went into free fall .,The fall of the House of Hapsburg .,12,1,F
raise,V,"To raise a wall , or a heap of stones .",Raise a family .,1,0,F
light,N,He stepped into the light .,"Hey , buddy , you got a light ?",4,7,F
fail,V,We must not fail his obligation to the victims of the Holocaust .,She failed in her obligations as a good daughter-in-law .,3,1,T
point,V,Point a chimney .,The gun points with ease .,0,2,F
turn,V,Turn on the spot .,The wheels are turning .,0,3,T
open,V,Vermont will open elk hunting season next week .,An opportunity opened up .,2,2,F
flap,N,He wrote on the flap of the envelope .,The flap of a wing .,4,1,T
development,N,The development and printing of his pictures took only two hours .,After he saw the latest development he changed his mind and became a supporter .,1,5,F
care,V,He does n't care about how / whether she comes .,I really care about my work .,3,2,T
wash,V,Can you wash away the spots on the windows ?,The swollen river washed away the footbridge .,2,3,F
wing,N,They are the progressive wing of the Republican Party .,He preferred the drumsticks to the wings .,4,6,F
field,N,Oil field .,He longed for the fields of his youth .,1,4,T
extract,V,Extract information from the telegram .,Extract a bad tooth .,0,0,T
commission,N,The motor was out of commission .,Put the ships into commission .,5,4,T
place,N,This is a nice place for a picnic .,A place in my heart .,4,1,F
extend,V,Extend the casserole with a little rice .,Extend my greetings .,0,0,F
check,N,They made a check of their equipment .,He paid all his bills by check .,3,6,F
grave,N,He put flowers on his mother 's grave .,He went to his grave without forgiving me .,7,4,F
process,N,The process of calcification begins later for boys than for girls .,Events now in process .,1,3,T
set,N,A set of teeth .,A set of books .,1,1,T
trade,V,Will you trade your precious watch for my earring ?,The stock traded around $ 20 a share .,2,2,F
progress,N,Great progress in the arts .,He listened for the progress of the troops .,1,4,F
catch,V,Do n't catch your meaning .,Catch some sleep .,2,0,F
offer,V,Offer prayers to the gods .,He offered his opinion .,0,1,F
prise,V,"1919 : I think he must have been trying to prise open that box yonder when he was attacked . — Sax Rohmer , The Quest of the Sacred Slipper .","C. 1925 : Come , force the gates with crowbars , prise them apart ! — Jack Lindsay , translation of Lysistrata .",10,11,T
range,N,The army maintains a missile range in the desert .,Any good golf club will have a range where you can practice .,5,7,T
matter,N,Physicists study both the nature of matter and the forces which govern it .,Printed matter .,6,1,F
volume,N,The volume of ticket sales decreased this week .,The volume of exports .,1,1,F
surface,N,The facts had been brought to the surface .,Three quarters of the Earth 's surface is covered by water .,7,6,F
interest,N,Victorian furniture is an interest of mine .,In the common interest .,4,3,F
sign,N,Those clouds show little sign of raining soon .,Those clouds show signs of raining soon .,4,3,T
scene,N,"The most moving scene is the final one , where he realizes he has wasted his whole life .",Their parting was a sad scene .,3,5,F
luck,N,Gilbert had some bad luck yesterday — he got pick - pocketed and lost fifty dollars .,I could n't believe my luck when I found a fifty dollar bill on the street .,4,5,T
draw,V,Draw a card .,"To draw a memorial , a deed , or bill of exchange .",0,1,F
limitation,N,The lawyer obtained impunity by dragging his obviously guilty client 's case beyond the 10 years limitation .,Statute of limitations .,16,2,T
behave,V,His mother threatened to spank him if he did n't behave .,The children must learn to behave .,10,5,F
render,V,Render fat in a casserole .,They had to render the estate .,0,3,F
stress,N,Some people put the stress on the first syllable of “ controversy ” ; others put it on the second .,"Go easy on him , he 's been under a lot of stress lately .",4,12,F
inventory,N,They stopped selling in exact sizes in order to reduce inventory .,"Due to an undersized inventory at the Boston outlet , customers had to travel to Providence to find the item .",10,4,F
apology,N,He wrote a letter of apology to the hostess .,"The CEO made a public apology for the scandal , and promised full cooperation with the authorities .",5,5,T
cover,V,Cover her face with a handkerchief .,Count the cash in the drawer twice just to cover yourself .,0,9,F
run,V,The sale will run for ten days .,The film runs 5 hours .,3,2,T
melt,V,"When the weather is warm , the snowman will disappear ; he will melt .",Melt butter .,13,0,T
sophisticate,V,"Yet Butler professes to stick to plain facts , not to sophisticate , not to refine . — M. Arnold .",Their manners had sophisticated the young girls .,11,3,F
know,V,I know him under a different name .,We know this movie .,1,1,T
wander,V,To wander over the fields .,Jews were wandering .,1,2,T
wall,N,The south wall had a small window .,Stomach walls .,2,1,F
break,V,"If the vase falls to the floor , it might break .",He broke the glass plate .,10,1,T
stream,N,Stream of consciousness .,A stream of people emptied from the terminal .,0,1,F
give,V,I 'm going to give my wife a necklace for her birthday .,He gives of his energies to the organization .,4,1,T
draw,V,A ship 's sail is said to draw when it is filled with wind .,The nurse drew blood .,7,2,F
fall,V,Fall prey to an imposter .,She fell ill .,0,1,T
tell,V,"Can you tell whether those flowers are real or silk , from this distance ?","No , there 's no way to tell .",2,7,F
crack,V,To crack a whip .,"Registrations cracked through the 30,000 mark in the county .",1,1,F
experience,N,It was an experience he would not soon forget .,He had a religious experience .,3,4,T
way,N,Come this way and I 'll show you a shortcut .,He said he was looking for the way out .,2,7,T
substitute,V,The young teacher had to substitute for the sick colleague .,The skim milk substitutes for cream -- we are on a strict diet .,5,3,T
scale,N,They entertained on a grand scale .,The magnitude of an earthquake is measured on the open-ended Richter scale .,5,11,T
suspect,V,I suspect he is a fugitive .,To suspect the presence of disease .,1,1,T
suffer,V,We hope you never have to suffer the same pain .,He suffered the penalty .,6,1,T
account,N,He asked to see the executive who handled his account .,He predicted that although it is of small account now it will rapidly increase in importance .,9,8,F
party,N,The party of the first part .,The green party took 12 % of the vote .,1,2,F
offer,V,Offer prayers to the gods .,The Shakespeare Company is offering ` King Lear ' this month .,0,4,F
support,N,They developed a scheme of mutual support .,The government provides support to the arts in several ways .,6,3,T
catch,V,Ears open to catch every sound .,I caught the aroma of coffee .,3,1,T
say,V,What does the law say ?,The registrar says that I owe the school money .,4,2,F
ditch,V,Ditch a plane .,Ditch a car .,0,0,T
history,N,A critical time in the school 's history .,History repeats itself if we do n't learn from its mistakes .,7,0,T
roll,V,Roll out the paper .,The drawer rolled open .,0,2,F
follow,V,We must follow closely the economic development is Cuba .,A terrible tsunami followed the earthquake .,2,3,F
masquerade,N,That masquerade of misrepresentation which invariably accompanied the political eloquence of Rome-Thomas de Quincey .,A beggar 's masquerade of wealth .,1,3,T
be,V,I may be an hour .,"Where is my umbrella ? "" "" The toolshed is in the back .",2,1,F
action,N,The piano had a very stiff action .,Recent federal action undermined the segregationist position .,6,2,F
stiff,N,A working stiff .,A lucky stiff .,2,2,T
language,N,The speed with which a program can be executed depends on the language in which it is written .,Language sets homo sapiens apart from all other animals .,12,0,F
deal,N,It was a package deal .,He rose to prominence through a series of shady deals .,4,9,F
drill,V,Drill for oil .,"Do n't drill here , there 's a gas pipe .",0,2,T
course,N,The ship changed its course 15 degrees towards south .,The river takes a southern course .,4,5,F
draw,V,Draw water from a well .,Draw parallels .,0,0,F
have,V,The only girl who would have him was the miller 's daughter .,Have a lover .,5,0,F
apply,V,Apply for a job .,She applied for college .,0,1,T
face,N,Dew dripped from the face of the leaf .,They climbed the north face of the mountain .,4,4,T
rest,N,The boulder came to rest just behind the house after rolling down the mountain .,A body will continue in a state of rest until acted upon .,4,8,T
exclude,V,To exclude young animals from the womb or from eggs .,The unruly student was excluded from the game .,1,4,T
line,N,He drew a line on the chart .,His face has many lines .,3,4,F
light,N,There was a light at every corner .,They played as long as it was light .,3,7,F
hour,N,The job will take more than an hour .,I spent an hour at lunch .,7,3,T
get,V,You need to get permission to leave early .,He got 5 years in prison .,3,1,T
consult,V,You should consult the dictionary .,"Men forgot , or feared , to consult .",2,7,T
turn,V,Turn your palm this way .,Turn a key .,0,0,T
drag,V,Drag this icon to the lower right hand corner of the screen .,He dragged the big suitcase behind him .,0,1,F
leave,V,She did n't leave until midnight .,Leave the flowers that you see in the park behind .,3,0,F
check,V,Check into the rumor .,Check the time of the class .,0,0,T
stage,N,The stage pulled into town carrying the payroll for the mill and three ladies .,At what stage are the social sciences ?,1,2,F
extension,N,The wire has an extension of 50 feet .,Extension of the program to all in need .,4,0,F
stand,V,We had to stand for the entire performance !,The statue stood on the corner .,3,2,T
rate,N,The literacy rate .,The rate of production at the factory is skyrocketing .,2,1,F
disperse,V,Disperse particles .,The Jews are dispersed among all nations .,0,3,F
wound,N,Deep in her breast lives the silent wound .,He feared that mentioning it might reopen the wound .,7,8,T
cover,V,Does my policy cover accidental loss ?,The female covers the eggs .,3,2,F
variant,N,"The word "" kerosine "" is a variant of “ kerosene ” .",A variant of the same word .,7,1,T
volume,N,"The letter "" G "" was found in volume 4 .",Please turn down the volume on the stereo .,8,4,F
set,N,A set of golf clubs .,He gave a final set to his hat .,1,4,F
click,V,Xhosa speakers click .,Click ! The door opened .,2,0,F
tone,N,He spoke in a nervous tone of voice .,He began in a conversational tone .,5,5,T
heart,N,A five-pound beef heart will serve six .,He drew a heart and called it a valentine .,3,3,F
remove,V,Remove a threat .,He removed the marbles from the bag .,0,1,T
go,V,Messages must go through diplomatic channels .,We should go farther in this matter .,2,2,T
wall,N,We 're adding another wall in this room during the remodeling .,The walls were covered with pictures .,4,1,T
leave,V,Leave the flowers that you see in the park behind .,"Unfortunately , this cleaning product leaves behind a noticeable residue .",0,5,T
difference,N,The difference in her is amazing .,It just wo n't make much of a difference to anyone .,1,8,T
go,V,Can I go now ?,It 's your turn ; go .,2,5,T
stretch,V,Let 's stretch for a minute -- we've been sitting here for over 3 hours .,Stretch your arms out above your head .,2,0,T
burn,V,Burn garbage .,She was burning with anger .,0,2,F
edge,N,The edge of the leaf is wavy .,The water 's edge .,1,3,T
arouse,V,To arouse anger .,Arouse pity .,1,0,T
catch,V,Did you catch that allusion ?,I have to catch a train at 7 o'clock .,2,3,F
drink,N,Can I buy you a drink ?,He jumped into the drink and had to be rescued .,5,4,F
run,V,The crowd had to run away from the burning structure with only the clothes on their backs .,"If you see this man , run !",4,6,T
wall,N,A wall of water .,The south wall had a small window .,1,2,F
cover,V,The grant does n't cover my salary .,The second officer covered the top floor .,4,3,F
line,N,Toe the line .,A washing line .,2,2,F
translate,V,Is there a need to translate the psychiatrist 's remarks ?,Can you translate the instructions in this manual for a layman ?,5,2,T
do,V,What makes her do this way ?,A ' B ' grade does n't suffice to get me into medical school .,3,5,F
hurl,N,A hurl of abuse .,He managed a hurl of 50.3 metres .,1,3,T
admit,V,To admit a serious thought into the mind .,They were admitted into his house .,1,2,T
interrupt,V,Do n't interrupt me when I 'm reading .,We interrupt the program for the following messages .,2,1,F
admit,V,We can not admit non-members into our club building .,She admitted us .,3,1,T
account,N,He predicted that although it is of small account now it will rapidly increase in importance .,The account of his speech that was given on the evening news made the governor furious .,8,1,F
carry,V,You must carry your camping gear .,Amanda carried the package from home .,2,1,T
strike,V,We will strike a medal in your honour .,The boxer struck the attacker dead .,2,2,F
make,V,This invention will make you a millionaire .,Make yourself clear .,3,0,T
light,N,I 'm really seeing you in a different light today .,The light of my life .,8,1,T
pay,V,Pay an obligation .,Pay a debt .,0,0,T
carry,V,Carry the suitcases to the car .,Amanda carried the package from home to New York .,0,1,T
dress,V,Dress a turkey .,Dress the patient .,0,0,F
carry,V,Carry the suitcases to the car .,These pipes carry waste water into the river .,0,2,T
pull,V,Pull a chicken .,The car pulls to the right .,0,2,F
drop,V,Drop him from the Republican ticket .,The cow dropped her calf this morning .,0,2,F
refill,N,The prescription specified only one refill .,He got a refill of his prescription .,5,3,T
area,N,It was his area of specialization .,Areas of interest include ...,3,0,T
society,N,It was then that they decided to found a society of didgeridoo-playing unicyclists .,They formed a small lunch society .,9,5,T
product,N,His reaction was the product of hunger and fatigue .,Skill is the product of hours of practice .,4,3,T
slack,N,Suddenly they were in a slack and the water was motionless .,A gradual slack in output .,5,2,F
focus,V,Please focus on your studies and not on your hobbies .,We focused on reading the book .,1,1,T
reason,N,"If you do n't give me a reason to go with you , I wo n't .",The reason that war was declared .,7,1,T
cry,V,That sad movie always makes me cry .,She cried bitterly when she heard the news of his death .,6,1,T
break,V,"If the new teacher wo n't break , we 'll add some stress .",The clouds broke after the heavy downpour .,6,2,F
delivery,N,She had a difficult delivery .,His reluctant delivery of bad news .,4,2,F
place,N,He has a special place in my thoughts .,Your place or mine ?,4,1,F
picture,N,They could still receive the sound but the picture was gone .,She was the picture of despair .,8,3,F
study,N,He is a quick study .,No schools offer graduate study in interior design .,4,4,F
degree,N,A right angle is a ninety degree angle .,Most humans have a field of vision of almost 180 degrees .,6,10,T
come,V,Come out of the closet !,A scream came from the woman 's mouth .,0,2,F
pool,N,The body lay in a pool of blood .,The pools of Solomon .,5,1,T
throw,V,"Have , throw , or make a party .",Throw a javelin .,2,0,F
concern,N,The employees ' attitude is really hurting the concern .,A racially integrated business concern .,8,4,T
shed,V,Shed your clothes .,He shed his image as a pushy boss .,0,1,T
head,N,He stuck his head out the window .,Be careful when you pet that dog on the head ; it may bite .,3,9,T
enthalpy,N,Enthalpy is the amount of energy in a system capable of doing mechanical work .,"H = U + p V , where H is enthalpy , U is internal energy , p is pressure , and V is volume .",0,10,T
underestimate,V,Do n't underestimate the danger of such a raft trip on this river .,He underestimated the work that went into the renovation .,2,1,T
respect,N,He went to law school out of respect for his father 's wishes .,He inspires respect .,7,2,F
scene,N,"The most moving scene is the final one , where he realizes he has wasted his whole life .",The first act has three scenes .,3,5,T
rest,N,The gun was steadied on a special rest .,The ocean was finally at rest .,7,5,F
break,V,Break a branch from a tree .,The twig broke off the branch .,0,2,T
enemy,N,Rally together against a common enemy .,The enemy attacked at dawn .,5,1,T
eyeball,V,A good cook can often just eyeball the correct quantities of ingredients .,Each geometric construction must be exact ; eyeballing it and getting close does not count .,6,7,T
boy,N,The boys were playing kickball in the mud .,She made the boy brush his teeth every night .,1,3,T
part,N,The part of his hair was slightly to the left .,His part was right in the middle .,1,1,T
have,V,How many cars does she have ?,Have an assistant .,5,0,F
devotion,N,The devotion of his time and wealth to science .,Their devotion to each other was beautiful .,1,1,F
ski,V,We love to ski the Rockies .,My children do n't ski .,3,4,T
fun,N,They began to fight like fun .,He was fun to be with .,5,2,F
feeling,N,The surface had a greasy feeling .,She had a feeling of euphoria .,5,3,F
have,V,I wo n't have this dog in my house !,"Have , throw , or make a party .",3,0,F
mean,V,The sky is red this morning — does that mean we 're in for a storm ?,I did n't mean to knock your tooth out .,9,3,F
dullness,N,There was a dullness in his heart .,Without him the dullness of her life crept into her work no matter how she tried to compartmentalize it .,3,3,T
furniture,N,The woman does not even have one stick of furniture moved in yet .,How much furniture did they leave behind ?,9,2,T
shag,N,The dog 's woolly shag .,He bought a shag rug .,4,3,F
stage,N,An early movie simply showed a long kiss by two actors of the contemporary stage .,We went out of town together by stage about ten or twelve miles .,14,7,F
degree,N,She has two bachelor 's degrees and is studying towards a master 's degree .,He earned his degree at Princeton summa cum laude .,13,3,T
coverage,N,The enemy fire is increasing – can we get some immediate coverage from those bunkers ?,The dictionary 's coverage of standard English is excellent .,11,3,T
keep,V,Our grant has run out and we can not keep you on .,We kept the work going as long as we could .,9,1,T
drive,V,Drive the game .,She finally drove him to change jobs .,0,2,F
touch,N,The cooling touch of the night air .,"Suddenly , in the crowd , I felt a touch at my shoulder .",2,9,T
space,N,Write your name in the space provided .,It all happened in the space of 10 minutes .,5,5,F
habit,N,It 's become a habit of mine to have a cup of coffee after dinner .,It was their habit to dine at 7 every evening .,4,3,T
have,V,Have a lover .,"We had a hard year last year , with the locust swarms and all that .",0,1,F
use,V,Use your head !,I ca n't use this tool .,0,3,T
enormity,N,In careful usage the noun enormity is not used to express the idea of great size .,Universities recognized the enormity of their task .,5,3,T
tea,N,Tea has fragrant white flowers .,We met at the Dean 's tea for newcomers .,0,6,F
impression,N,I wanted to create an impression of success .,He watched the impression of the seal on the hot wax .,5,3,F
certainty,N,His victory is a certainty .,His certainty reassured the others .,4,1,F
touch,V,He could not touch the meaning of the poem .,Touch the stone for good luck .,3,0,F
field,N,"The farmer 's field was a civil war battleground , and relics such a minnie bullets were frequently found while plowing .",Field of view .,3,0,F
extend,V,Extend a hand .,My land extends over the hills on the horizon .,0,2,F
pick,V,Pick up the tab .,Pick up the burden of high-interest mortgages .,0,0,T
support,V,He does not support his natural children .,The scholarship supported me when I was in college .,3,2,T
action,N,The Union action of emancipating Southern slaves .,The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues .,2,11,T
unit,N,A unit of wheat is a bushel .,Change per unit volume .,1,2,T
make,V,They hope to make a bigger profit .,You have to spend money to make money !,3,6,T
fish,N,The shark is a large fish .,In the living room there was a tank of colorful fish .,5,10,T
come,V,Your wish will come true .,The shoes came untied .,3,2,T
drive,V,Drive a car or bus .,She finally drove him to change jobs .,0,2,F
shift,V,You have to shift when you go down a steep hill .,Shift one 's position .,3,0,F
construction,N,He had worked in construction all his life .,Their main business is home construction .,4,5,T
view,V,View a show on television .,View an exhibition .,0,0,T
trust,N,He is the beneficiary of a generous trust set up by his father .,He betrayed their trust .,7,3,F
unit,N,A unit of wheat is a bushel .,The dollar is the United States unit of currency .,1,6,T
work,V,Work your way through every problem or task .,Start from the bottom and work towards the top .,0,5,T
kill,V,Kill a motion .,These new shoes are killing me !,0,4,F
admit,V,To admit a serious thought into the mind .,A ticket admits one into a playhouse .,1,2,T
apply,V,I apply this rule to get good results .,This thinking was applied to many projects .,1,3,T
last,N,He finished an inglorious last .,He was the last to leave .,4,3,T
court,N,The noblemen visited the queen in her court .,The king will visit the duke 's court .,7,7,T
make,V,He did n't make the choir after his voice changed .,How much do you make a month in your new job ?,3,4,T
head,N,They shot 20 head of quail .,200 head of cattle .,3,1,T
mount,V,Mount an attack .,Mount a play .,0,0,T
teach,V,Can you teach me to sew ?,I taught them French .,2,1,T
match,V,"Their interests did n't match , so it took a long time to agree what to do together .","Matchmaker , can you match my daughter with a nice young man ?",4,4,F
militate,V,To militate in favor of a particular result .,Politeness militated against this opinion being expressed .,1,1,T
range,N,We hiked through the Andes mountain range .,The valley was between two ranges of hills .,6,5,T
compare,V,You ca n't compare my problems and yours .,John compared his haircut to his friend 's .,3,1,T
dibs,N,Who 's got dibs on the chips ?,Dibs means I get the hammock .,3,0,T
top,N,He stared as she buttoned her top .,Put your books on top of the desk .,6,4,F
catch,V,I have some free time tonight so I think I 'll catch a movie .,Catch some sleep .,11,0,F
wall,N,We 're adding another wall in this room during the remodeling .,Stomach walls .,4,1,F
line,N,You must wait in a long line at the checkout counter .,He has a smooth line but I did n't fall for it .,6,4,F
bum,N,That guy keeps interrupting the concert . Throw the bum out !,Fred is becoming a bum - he 's not even bothering to work more than once a month .,9,4,T
propagate,V,Propagate sound or light through air .,Sound and light propagate in this medium .,0,3,F
drop,V,New Englanders drop their post-vocalic r 's .,She dropped acid when she was a teenager .,2,1,F
reduce,V,Reduce a problem to a single question .,The cells reduce .,0,2,F
work,V,This method does n't work .,How does your idea work in practice ?,4,4,T
unit,N,The dollar is the United States unit of currency .,The word is a basic linguistic unit .,6,6,F
wash,V,"The car is so dirty , we need to wash it .",The swollen river washed away the footbridge .,9,3,F
poison,N,We used a poison to kill the weeds .,The poison of fascism .,3,1,F
feeling,N,The surface had a greasy feeling .,The wool on my arm produced a strange feeling .,5,8,T
drink,N,Can I buy you a drink ?,Drink was his downfall .,5,0,F
movement,N,A broad movement of the electorate to the right .,He was a charter member of the movement .,2,7,F
confluence,N,We encountered an abandoned boat at the confluence of the Mississippi and Ohio Rivers .,Pittsburgh is located at the confluence of the Allegheny and Monongahela rivers .,7,5,T
admit,V,We can not admit non-members into our club building .,They were admitted into his house .,3,2,T
syrup,N,Maple syrup .,Pancake syrup .,1,1,T
face,N,Put a big sign on each face of the building that can be seen from the road .,Why the sad face ?,6,3,F
application,N,It is a job requiring serious application .,December 31 is the deadline for MBA applications .,6,7,F
be,V,When will the meeting be ?,There were two hundred people at his funeral .,4,1,T
unravel,V,Can you unravel the mystery ?,Mother could n't unravel the ball of wool after the cat had played with it .,2,3,T
end,N,The end of the year .,The end was exciting .,1,1,F
summer,V,We like to summer in the Mediterranean .,My family always summered at the seashore .,3,3,T
empathize,V,You really have to empathize .,You really have to empathize with their doing it .,4,4,T
play,V,Play football .,Play cards .,0,0,T
smile,N,He has a sinister smile .,He always puts a smile on my face .,4,4,T
component,N,A component or constituent element of a system .,The smaller component is hard to reach .,1,2,F
point,N,To fall off a point .,The one with the most points will win the game .,4,5,F
raise,V,Raise a smile .,Chew with your mouth shut — were you raised in a barn ?,0,8,F
line,N,They were arrayed in line of battle .,He drew a line on the chart .,4,3,F
term,N,He left school before the end of term .,A prison term .,7,2,T
life,N,The life of this milk carton may be thousands of years in this landfill .,There is no life on the moon .,1,3,F
drift,V,Do n't drift from the set course .,The stock market drifted upward .,2,3,F
raise,V,Raise hell .,Raise the roof .,0,0,T
year,N,This Chinese year is the year of the Rooster .,She is 4 years old .,2,3,T
store,V,Store grain for the winter .,The bear stores fat for the period of hibernation when he does n't eat .,0,2,T
stir,V,Stir the soup .,Stir emotions .,0,0,F
masquerade,N,I was invited to the masquerade at their home .,That masquerade of misrepresentation which invariably accompanied the political eloquence of Rome-Thomas de Quincey .,5,1,T
connect,V,The local train does not connect with the Amtrak train .,The planes do n't connect and you will have to wait for four hours .,5,4,T
head,N,We will consider performance issues under the head of future improvements .,Under the head of minor Roman poets .,7,2,T
give,V,Give one 's opinion .,Give an excuse .,0,0,T
waste,N,Much of the waste material is carried off in the sewers .,The trackless wastes of the desert .,3,2,F
play,V,Can you play on this old recorder ?,He plays the flute .,2,1,T
year,N,In the year 1920 .,She is 4 years old .,2,3,T
chair,N,He put his coat over the back of the chair and sat down .,"All I need to weather a snowstorm is hot coffee , a warm fire , a good book and a comfortable chair .",9,21,T
flare,N,Infection can cause a lupus flare .,A colitis flare .,5,2,T
satellite,N,The Moon is a natural satellite of the Earth .,Many telecommunication satellites orbit at 36000 km above the equator .,5,2,F
hyponym,N,"A is a hyponym of B means that "" A is a type of B. "" .",British is a hyponym of European .,3,3,T
ball,N,The mayor threw out the first ball .,The ball rolled into the corner pocket .,6,1,T
impression,N,He made a good impression .,I wanted to create an impression of success .,4,5,T
monopoly,N,They have no monopoly on intelligence .,A land monopoly renders its holder(s ) nearly almighty in an agricultural society .,3,2,T
freeze,V,Do n't go outside wearing just a t-shirt ; you 'll freeze !,The water in the bowl froze .,11,5,F
beat,V,Beat the cream .,Beat the egg whites .,0,0,T
identity,N,You can lose your identity when you join the army .,It was too dark to determine his identity .,4,7,F
start,N,He awoke with a start .,He woke with a start .,4,4,T
throw,V,Throw a frisbee .,Jane threw dinner together .,0,1,F
right,N,You have no right to go through my personal diary .,They are endowed by their Creator with certain unalienable Rights .,3,9,T
feel,V,My cold is gone -- I feel fine today .,She felt sad after her loss .,6,1,T
snow,V,It started to snow .,It was snowing all night .,3,2,T
have,V,The only girl who would have him was the miller 's daughter .,I wo n't have this dog in my house !,5,3,T
stand,V,Can you stand the bookshelf up ?,The law stands !,2,2,F
stand,V,"Here I stand , wondering what to do next .",I am standing my ground and wo n't give in !,2,2,T
be,V,I shall be writing to you soon .,He is a herpetologist .,2,1,F
sign,N,The hunters found deer sign at the end of the trail .,They welcomed the signs of spring .,4,3,T
stand,V,We had to stand for the entire performance !,They stood the statue on the pedestal .,3,1,T
be,V,I shall be writing to you soon .,"It has been three years since my grandmother died . ( similar to My grandmother died three years ago , but emphasizes the intervening period ) .",2,2,T
product,N,We 've got to sell a lot of product by the end of the month .,That store offers a variety of products .,8,6,T
grow,V,That acorn will grow into an oak tree .,The gardener grew that acorn into an oak tree .,3,2,T
spring,N,I spent my spring holidays in Morocco .,The emerging buds were a sure sign of spring .,3,8,T
break,V,"The newsman wanted to break a big story , something that would make him famous .",News of her death broke in the morning .,4,4,T
trial,N,A trial of progesterone failed to relieve the pain .,A sample for ten days free trial .,1,6,T
carry,V,I carry her image in my mind 's eye .,I carry a lot of life insurance .,1,1,T
get,V,Did you get it ?,I just do n't get him .,2,4,T
case,N,It may rain in which case the picnic will be canceled .,"Latin has six cases , and remnants of a seventh .",5,3,F
point,V,"If he asks for food , point him toward the refrigerator .",The dog pointed the dead duck .,6,2,F
tea,N,Go to the supermarket and buy some tea .,Would you like some tea ?,7,4,F
implement,V,Implement a procedure .,"It 's a good thought , but it will be a difficult thing to implement .",0,14,F
extend,V,Can we extend the legs of this dining table ?,Extend the TV antenna .,2,0,F
shock,N,He was numb with shock .,The old car needed a new set of shocks .,4,8,F
concern,N,The safety of the ship is the captain 's concern .,She felt strong concern for those less fortunate .,9,3,F
change,N,He attributed the change to their marriage .,Can I get change for this $ 100 bill please ?,3,3,F
tell,V,I tell you that man is a crook !,Ellen told Helen about the situation .,1,1,T
charge,V,I need to charge my car battery .,The teacher charged the children to memorize the poem .,3,2,F
monopoly,N,A monopoly on silver .,When you have a monopoly you can ask any price you like .,1,4,T
mean,V,I mean no harm .,I did n't mean to knock your tooth out .,1,3,T
smile,N,She 's got a perfect smile .,She had a smile on her face .,5,3,T
face,V,Face the lapels of the jacket .,An enormous dilemma faces us .,0,3,F
know,V,I know it 's time .,It is vital that he not know .,1,6,T
purge,V,Purge the water .,Purge your mind .,0,0,T
do,V,Will $ 100 do ?,A ' B ' grade does n't suffice to get me into medical school .,3,5,T
unravel,V,Can you unravel the mystery ?,Stop playing with the seam of the tablecloth ! You will unravel it .,2,11,T
silence,N,He gestured for silence .,There was a shocked silence .,3,4,T
line,N,A shared line .,"I tried to make a call , but the line was dead .",2,9,T
order,N,The machine is now in working order .,He put his desk in order .,6,5,T
make,V,How much do you make a month in your new job ?,"She makes more than he does , and works longer hours than he does , but she still does most of the house-cleaning .",4,1,T
beat,V,Beat one 's breast .,Beat one 's foot rhythmically .,0,0,T
floor,N,The floor of a cave served the refugees as a home .,They needed rugs to cover the bare floors .,1,7,F
cut,V,The football player cut to his left to evade a tackle .,The car cut to the left at the intersection .,3,2,T
hegemony,N,The consolidation of the United States ' hegemony over a new international economic system .,The hegemony of a single member state is not incompatible with a genuine confederation .,7,1,T
cover,V,"When the pot comes to a boil , cover it and reduce the heat to medium .",The course covered all of Western Civilization .,8,2,F
strike,V,Strike coins .,Strike a pose .,0,0,F
admit,V,To admit a serious thought into the mind .,She admitted us .,1,1,T
flatten,V,"As there was a lot of damage , we chose the heavy roller to flatten the pitch .",Mary would flatten the dough before rolling it into pretzels .,14,2,T
time,N,He was a great actor in his time .,He waited a long time .,7,4,T
melt,V,Melt butter .,The wax melted in the sun .,0,2,T
stick,N,The recipe calls for half a stick of butter .,Fever left him weak on his sticks .,6,6,F
door,N,Education is the door to success .,I knocked on the vice president 's door .,3,7,F
charge,N,There will be a charge of five dollars .,The admission charge .,4,2,T
crown,V,Crown my teeth .,The speech crowned the meeting .,0,2,F
figure,N,A figure of $ 17 was suggested .,The area covered can be seen from Figure 2 .,1,7,F
change,N,I paid with a twenty and pocketed the change .,The product is undergoing a change in order to improve it .,8,5,F
take,V,I take aspirin every day to thin my blood .,I do n't take sugar in my coffee .,1,3,T
